folder,project,url,status
site_0500,zone-audit-br,https://zone-audit-l7kdtg8mw-victor-cryptos-projects.vercel.app,ok
site_0501,crypto-cloud,https://crypto-cloud-8yxkxcys2-victor-cryptos-projects.vercel.app,ok
site_0502,zone-market,https://zone-market-jbj4p23ad-victor-cryptos-projects.vercel.app,ok
site_0503,map-audit-pro,https://map-audit-mzfpdithq-victor-cryptos-projects.vercel.app,ok
site_0504,portal-market,https://portal-market-qd5latqe7-victor-cryptos-projects.vercel.app,ok
site_0505,view-monitor,https://view-monitor-m05jxf6ws-victor-cryptos-projects.vercel.app,ok
site_0506,bolsa-token-sp,https://bolsa-token-3zsd6as5k-victor-cryptos-projects.vercel.app,ok
site_0507,career-node,https://career-node-19ny177xe-victor-cryptos-projects.vercel.app,ok
site_0508,nova-finance-site,https://nova-finance-site-n9lgg0f6n-victor-cryptos-projects.vercel.app,ok
site_0509,edge-monitor,https://edge-monitor-fww0qb2nj-victor-cryptos-projects.vercel.app,ok
site_0510,report-desk,https://report-desk-gti6c1ixp-victor-cryptos-projects.vercel.app,ok
site_0511,nova-press-info,https://nova-press-info-mrm6qw1jy-victor-cryptos-projects.vercel.app,ok
site_0512,map-analytics-io,https://map-analytics-a59mtpbx3-victor-cryptos-projects.vercel.app,ok
site_0513,press-vault,https://press-vault-7z06c1gah-victor-cryptos-projects.vercel.app,ok
site_0514,finance-digital-now,https://finance-digital-5zlfievx0-victor-cryptos-projects.vercel.app,ok
site_0515,api-digital-digital,https://api-digital-digital-dulyn42lf-victor-cryptos-projects.vercel.app,ok
site_0516,data-wallet-co,https://data-wallet-d71xcbym2-victor-cryptos-projects.vercel.app,ok
site_0517,portal-ledger-now,https://portal-ledger-gk2s9i6j1-victor-cryptos-projects.vercel.app,ok
site_0518,net-media,https://net-media-myhhxbwcq-victor-cryptos-projects.vercel.app,ok
site_0519,verify-prime,https://verify-prime-qs7rw1cls-victor-cryptos-projects.vercel.app,ok
site_0520,grid-invest,https://grid-invest-hbrjmc4h4-victor-cryptos-projects.vercel.app,ok
site_0521,tech-net,https://tech-q6k6773xy-victor-cryptos-projects.vercel.app,ok
site_0522,zone-civic-hq,https://zone-civic-juc2vsdg4-victor-cryptos-projects.vercel.app,ok
site_0523,digital-view,https://digital-view-r8qa99v66-victor-cryptos-projects.vercel.app,ok
site_0524,invest-wallet-online,https://invest-wallet-online-h68gvhdah-victor-cryptos-projects.vercel.app,ok
site_0525,analytics-stack,https://analytics-stack-hc6k4hjey-victor-cryptos-projects.vercel.app,ok
site_0526,view-noticias-pro,https://view-noticias-qgylnmufb-victor-cryptos-projects.vercel.app,ok
site_0527,digital-base,https://digital-base-cprz0i0a6-victor-cryptos-projects.vercel.app,ok
site_0528,analytics-zone,https://analytics-zone-d75kbkl3v-victor-cryptos-projects.vercel.app,ok
site_0529,secure-node,https://secure-node-3q28a0dhc-victor-cryptos-projects.vercel.app,ok
site_0530,weekly-bolsa-sp,https://weekly-bolsa-2uyde5766-victor-cryptos-projects.vercel.app,ok
site_0531,nova-daily,https://nova-daily-bbk42dfm0-victor-cryptos-projects.vercel.app,ok
site_0532,info-insight,https://info-insight-7zi1usgd7-victor-cryptos-projects.vercel.app,ok
site_0533,map-press,https://map-press-cb37r1wi0-victor-cryptos-projects.vercel.app,ok
site_0534,weekly-audit-go,https://weekly-audit-2oqtn28ki-victor-cryptos-projects.vercel.app,ok
site_0535,base-verify-net,https://base-verify-e0lsm9g46-victor-cryptos-projects.vercel.app,ok
site_0536,grid-daily-go,https://grid-daily-4543ys8s5-victor-cryptos-projects.vercel.app,ok
site_0537,wave-protocol,https://wave-protocol-nxeuqaer3-victor-cryptos-projects.vercel.app,ok
site_0538,daily-saude-info,https://daily-saude-info-qna8ro50m-victor-cryptos-projects.vercel.app,ok
site_0539,web3-gate,https://web3-gate-bm6xk9k5l-victor-cryptos-projects.vercel.app,ok
site_0540,civic-open-digital,https://civic-open-digital-reibqvv7m-victor-cryptos-projects.vercel.app,ok
site_0541,ledger-desk,https://ledger-desk-phvtrbmfx-victor-cryptos-projects.vercel.app,ok
site_0542,api-feed,https://api-feed-e65t0pwki-victor-cryptos-projects.vercel.app,ok
site_0543,insight-forge,https://insight-forge-114t0k6pk-victor-cryptos-projects.vercel.app,ok
site_0544,track-renda-plus,https://track-renda-plus-pq5fi0e5r-victor-cryptos-projects.vercel.app,ok
site_0545,labs-noticias-info,https://labs-noticias-info-olndh60cy-victor-cryptos-projects.vercel.app,ok
site_0546,cloud-defi-web,https://cloud-defi-o9q5nleci-victor-cryptos-projects.vercel.app,ok
site_0547,net-audit-br,https://net-audit-20ackq04g-victor-cryptos-projects.vercel.app,ok
site_0548,node-open,https://node-open-60aqi6ml2-victor-cryptos-projects.vercel.app,ok
site_0549,grid-noticias-br,https://grid-noticias-ogzqkahy6-victor-cryptos-projects.vercel.app,ok
site_0550,edge-gov-app,https://edge-gov-mp6hygwcf-victor-cryptos-projects.vercel.app,ok
site_0551,pulse-fundo,https://pulse-fundo-bap0mj9ny-victor-cryptos-projects.vercel.app,ok
site_0552,web3-monitor-co,https://web3-monitor-g05yge4v8-victor-cryptos-projects.vercel.app,ok
site_0553,daily-dash,https://daily-dash-47nkyr9mv-victor-cryptos-projects.vercel.app,ok
site_0554,tech-crypto-plus,https://tech-crypto-plus-8rg6f7f9d-victor-cryptos-projects.vercel.app,ok
site_0555,feed-renda,https://feed-renda-czf4eetgo-victor-cryptos-projects.vercel.app,ok
site_0556,vagas-saude-info,https://vagas-saude-info-c9mgjpg4e-victor-cryptos-projects.vercel.app,ok
site_0557,feed-press,https://feed-press-n0d095c27-victor-cryptos-projects.vercel.app,ok
site_0558,open-news-portal,https://open-news-portal-qhboa1p4a-victor-cryptos-projects.vercel.app,ok
site_0559,invest-block-net,https://invest-block-ddqh8n632-victor-cryptos-projects.vercel.app,ok
site_0560,insight-wave,https://insight-wave-haajucfm5-victor-cryptos-projects.vercel.app,ok
site_0561,flow-career-io,https://flow-career-8d1jg8dsm-victor-cryptos-projects.vercel.app,ok
site_0562,net-bolsa-online,https://net-bolsa-online-1rtwkq8xh-victor-cryptos-projects.vercel.app,ok
site_0563,web3-nexus,https://web3-nexus-2e0obzjab-victor-cryptos-projects.vercel.app,ok
site_0564,civic-saude-sp,https://civic-saude-etc6dunqy-victor-cryptos-projects.vercel.app,ok
site_0565,nexus-api,https://nexus-3r9uss5wy-victor-cryptos-projects.vercel.app,ok
site_0566,api-weekly-app,https://api-weekly-o2pts6iwv-victor-cryptos-projects.vercel.app,ok
site_0567,feed-social-online,https://feed-social-online-h23d0c0cp-victor-cryptos-projects.vercel.app,ok
site_0568,press-defi-info,https://press-defi-info-5xf9so247-victor-cryptos-projects.vercel.app,ok
site_0569,map-noticias-hub,https://map-noticias-ag1gw01ou-victor-cryptos-projects.vercel.app,ok
site_0570,feed-protocol-plus,https://feed-protocol-plus-gr02vwtse-victor-cryptos-projects.vercel.app,ok
site_0571,labs-layer,https://labs-layer-34wq7vk9i-victor-cryptos-projects.vercel.app,ok
site_0572,crypto-desk,https://crypto-desk-c7ubwuinp-victor-cryptos-projects.vercel.app,ok
site_0573,finance-monitor-go,https://finance-monitor-it9nj3g5l-victor-cryptos-projects.vercel.app,ok
site_0574,base-track-dev,https://base-track-olc8sjn55-victor-cryptos-projects.vercel.app,ok
site_0575,net-civic-dev,https://net-civic-iakk20e9x-victor-cryptos-projects.vercel.app,ok
site_0576,noticias-core,https://noticias-core-e1xcqqb7t-victor-cryptos-projects.vercel.app,ok
site_0577,protocol-public-digital,https://protocol-public-digital-pd15nxs7u-victor-cryptos-projects.vercel.app,ok
site_0578,invest-gate,https://invest-gate-n2oqu25fb-victor-cryptos-projects.vercel.app,ok
site_0579,cloud-gov-go,https://cloud-gov-iabgtyw02-victor-cryptos-projects.vercel.app,ok
site_0580,sphere-defi-online,https://sphere-defi-online-3hk8or6ce-victor-cryptos-projects.vercel.app,ok
site_0581,core-defi-net,https://core-defi-j3z4jtxz2-victor-cryptos-projects.vercel.app,ok
site_0582,audit-portal,https://audit-portal-ja65vzaw1-victor-cryptos-projects.vercel.app,ok
site_0583,prime-monitor,https://prime-monitor-hinpm069y-victor-cryptos-projects.vercel.app,ok
site_0584,public-wallet-online,https://public-wallet-online-r3w4i4bgj-victor-cryptos-projects.vercel.app,ok
site_0585,zone-career-co,https://zone-career-kyyx0kabf-victor-cryptos-projects.vercel.app,ok
site_0586,forge-ledger-co,https://forge-ledger-jv5ocl4c2-victor-cryptos-projects.vercel.app,ok
site_0587,daily-fundo-plus,https://daily-fundo-plus-bag99fjm9-victor-cryptos-projects.vercel.app,ok
site_0588,civic-fundo-plus,https://civic-fundo-plus-a65n53bxc-victor-cryptos-projects.vercel.app,ok
site_0589,renda-node,https://renda-node-d5jawr03u-victor-cryptos-projects.vercel.app,ok
site_0590,map-noticias-info,https://map-noticias-info-oc03b0k3c-victor-cryptos-projects.vercel.app,ok
site_0591,digital-bolsa-io,https://digital-bolsa-c8h9ar8id-victor-cryptos-projects.vercel.app,ok
site_0592,digital-social-web,https://digital-social-jy6qx1g0y-victor-cryptos-projects.vercel.app,ok
site_0593,insight-vault,https://insight-vault-4jkaeyc2i-victor-cryptos-projects.vercel.app,ok
site_0594,info-chain,https://info-chain-isd54e461-victor-cryptos-projects.vercel.app,ok
site_0595,peak-open,https://peak-open-h54qnvvj7-victor-cryptos-projects.vercel.app,ok
site_0596,pulse-analytics,https://pulse-analytics-bgr3av45f-victor-cryptos-projects.vercel.app,ok
site_0597,code-data,https://code-data-mvwha2h7p-victor-cryptos-projects.vercel.app,ok
site_0598,career-scan-co,https://career-scan-cdurrfo9w-victor-cryptos-projects.vercel.app,ok
site_0599,api-invest-site,https://api-invest-site-ikj80isbi-victor-cryptos-projects.vercel.app,ok
site_0600,monitor-sphere,https://monitor-sphere-p42kl4nlz-victor-cryptos-projects.vercel.app,ok
